Model,MD5,Accel,batchsize,avg_latency(ms),min_latency(ms),max_latency(ms),run_id
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_ampere,1,47.55,39.12,81.27,resnet152-v1_ampere_1_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_ampere,2,82.31,52.37,453.58,resnet152-v1_ampere_2_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_ampere,4,119.17,90.66,555.29,resnet152-v1_ampere_4_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_ampere,8,173.01,138.61,738.73,resnet152-v1_ampere_8_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_pascal,1,40.93,36.73,77.54,resnet152-v1_pascal_1_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_pascal,2,71.61,53.92,375.26,resnet152-v1_pascal_2_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_pascal,4,107.97,92.11,386.53,resnet152-v1_pascal_4_stats.json
resnet152_v1.onnx,7a6878b57fc8623fd7a979e5b69a49dd,onnxruntime_gpu_pascal,8,181.76,153.54,626.51,resnet152-v1_pascal_8_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_ampere,1,27.81,23.57,65.25,resnet18-v1_ampere_1_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_ampere,2,49.41,42.8,149.1,resnet18-v1_ampere_2_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_ampere,4,83.26,75.19,194.29,resnet18-v1_ampere_4_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_ampere,8,134.95,122.56,280.88,resnet18-v1_ampere_8_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_pascal,1,23.21,20.95,55.58,resnet18-v1_pascal_1_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_pascal,2,44.54,36.1,154.37,resnet18-v1_pascal_2_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_pascal,4,76.99,68.73,167.39,resnet18-v1_pascal_4_stats.json
resnet18_v1.onnx,aa9bb820548542bbfb22344dc4c44d1d,onnxruntime_gpu_pascal,8,130.27,119.82,248.95,resnet18-v1_pascal_8_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_ampere,1,32.3,24.14,67.3,resnet34-v1_ampere_1_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_ampere,2,54.28,41.98,204.64,resnet34-v1_ampere_2_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_ampere,4,92.39,77.32,260.12,resnet34-v1_ampere_4_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_ampere,8,142.31,126.1,384.99,resnet34-v1_ampere_8_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_pascal,1,25.45,23.1,55.89,resnet34-v1_pascal_1_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_pascal,2,50.01,39.96,189.77,resnet34-v1_pascal_2_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_pascal,4,84.39,74.36,223.56,resnet34-v1_pascal_4_stats.json
resnet34_v1.onnx,093b139af85f6a29c91d14f2d459710d,onnxruntime_gpu_pascal,8,138.39,126.69,329.85,resnet34-v1_pascal_8_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_ampere,1,32.62,26.3,67.09,resnet50-v1_ampere_1_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_ampere,2,56.6,44.72,218.79,resnet50-v1_ampere_2_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_ampere,4,94.92,81.47,306.11,resnet50-v1_ampere_4_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_ampere,8,147.4,125.36,443.7,resnet50-v1_ampere_8_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_pascal,1,26.72,24.36,59.52,resnet50-v1_pascal_1_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_pascal,2,51.63,42.18,201.67,resnet50-v1_pascal_2_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_pascal,4,86.2,75.96,232.86,resnet50-v1_pascal_4_stats.json
resnet50_v1.onnx,1ddc0f5425e65e4f65ed8dda8e6aae9b,onnxruntime_gpu_pascal,8,145.95,128.77,351.11,resnet50-v1_pascal_8_stats.json
